method,image,green_x,green_y,red_x,red_y,alignment_seconds,total_seconds
single,cathedral,2,5,3,12,0.0553,0.0619
single,monastery,2,-3,2,3,0.0653,0.0697
single,tobolsk,3,3,3,6,0.0559,0.0603
pyramid,cathedral,2,5,3,12,0.0245,0.028
pyramid,church,4,25,-4,58,0.6313,0.8473
pyramid,emir,24,49,-203,140,0.6572,0.8524
pyramid,harvesters,17,60,13,124,0.6176,0.8048
pyramid,icon,17,41,23,89,0.7753,1.0253
pyramid,ilemselga,7,40,11,130,0.6979,0.9195
pyramid,melons,11,82,13,179,0.6379,0.8669
pyramid,monastery,2,-3,2,3,0.0235,0.0279
pyramid,religous_painting,3,28,7,68,0.6409,0.8405
pyramid,self_portrait,29,79,37,176,0.6425,0.8527
pyramid,siren,-6,49,-25,96,0.6532,0.8565
pyramid,three_generations,14,53,11,111,0.6393,0.8199
pyramid,tobolsk,3,3,3,6,0.0238,0.0287
pyramid,wharf,-7,15,-16,82,0.6379,0.8215
pyramid,cotton_mill,-13,58,-58,134,0.6287,0.8011
pyramid,adobe_buildings,36,44,45,98,0.6253,0.7889
pyramid,tiflis,34,39,54,89,0.6083,0.7708
gradient,cathedral,2,5,3,12,0.0256,0.0305
gradient,church,4,25,-4,58,0.7656,0.9325
gradient,emir,24,49,40,107,0.7565,0.9321
gradient,harvesters,17,60,14,124,0.7507,0.921
gradient,icon,17,42,23,90,0.755,0.9506
gradient,ilemselga,7,40,11,131,0.8113,0.988
gradient,melons,10,80,13,177,0.7747,0.957
gradient,monastery,2,-3,2,3,0.0248,0.0294
gradient,religous_painting,5,30,6,70,0.7645,0.9449
gradient,self_portrait,29,78,37,175,0.8031,0.9942
gradient,siren,-6,49,-24,96,0.7979,0.9897
gradient,three_generations,12,54,9,111,0.7732,0.9548
gradient,tobolsk,3,3,3,6,0.0248,0.0309
gradient,wharf,-7,15,-16,83,0.7688,0.9547
gradient,cotton_mill,-12,58,-56,134,0.7574,0.9281
gradient,adobe_buildings,39,44,45,96,0.761,0.9269
gradient,tiflis,35,40,53,89,0.7462,0.9157
