image,method,feature,green_x,green_y,red_x,red_y,output
wharf,pyramid,raw,-7,15,-16,83,wharf.jpg
emir,pyramid,raw,24,49,49,93,emir.jpg
emir,pyramid,gradient,24,49,40,107,emir-gradient.jpg
monastery,single,raw,2,-3,2,3,monastery.jpg
religous_painting,pyramid,raw,3,28,7,68,religous_painting.jpg
adobe_buildings,pyramid,raw,36,44,45,97,adobe_buildings.jpg
church,pyramid,raw,4,25,-4,58,church.jpg
three_generations,pyramid,raw,14,53,11,112,three_generations.jpg
melons,pyramid,raw,11,82,13,179,melons.jpg
cotton_mill,pyramid,raw,-13,58,-58,134,cotton_mill.jpg
tobolsk,single,raw,3,3,3,6,tobolsk.jpg
icon,pyramid,raw,17,41,23,89,icon.jpg
tiflis,pyramid,raw,33,39,54,89,tiflis.jpg
cathedral,single,raw,2,5,3,12,cathedral.jpg
siren,pyramid,raw,-6,49,-25,96,siren.jpg
self_portrait,pyramid,raw,29,79,37,176,self_portrait.jpg
harvesters,pyramid,raw,17,60,13,124,harvesters.jpg
ilemselga,pyramid,raw,7,40,11,130,ilemselga.jpg
